slug,city,country,region,mode,n_stations,annual_riders,annual_year_raw,annual_year,vintage_basis,measure_def,measure_note,measure_source,convention_family,metric_confidence,value_status,evidence,annual_url,source_id,urban_pop,urban_area_km2,pop_source,population_basis,trips_per_capita,mode_scope,mode_scope_checked,mode_scope_evidence,mode_scope_url,has_ridership,metric_known,citation_resolves,denominator_consistent,vintage_comparable,mode_scope_known,mode_scope_consistent,usable_for_ratio
wuhan,Wuhan,China,Asia,metro,201,1457000000,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,467,039,600 / 进站量 926,645,100. matches 客运量 to 0.7% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,wuhan-annual,10041000,1821,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,145.1,metro_only,system_field,,,true,true,true,true,true,true,true,true
chongqing,Chongqing,China,Asia,metro,168,1445000000,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,416,494,000 / 进站量 879,855,500. matches 客运量 to 2.0% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,chongqing-annual,11524000,1580,Demographia 2025 (20th ed.) built-up urban area (NOT the ~32M municipality),built_up_urban_area,125.4,metro_only,system_field,,,true,true,true,true,true,true,true,true
xian,Xi'an,China,Asia,metro,100,1406401300,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,406,401,300 / 进站量 910,339,600. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,xian-annual,8312000,1826,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,169.2,metro_only,system_field,,,true,true,true,true,true,true,true,true
new-york,New York City,United States,North America,metro,464,1281883362,2025,2025,calendar_year,unlinked_trips,unlinked_trips,system_rank,boarding,high,,,https://www.mta.info/agency/new-york-city-transit/ridership/2025,new-york-ntd,20892000,11344,Demographia 2025 (20th ed.) built-up urban area 'New York NY-NJ-CT',built_up_urban_area,61.4,metro_only,system_field,,,true,true,true,true,true,true,true,true
singapore,Singapore,Singapore,Asia,metro,149,1273850000,2025,2025,calendar_year,estimated,estimated,system_rank,estimated,medium,,,https://data.gov.sg/datasets/d_ba615ec4cc5d9f5b7800ad82057f36f1/view,singapore-annual,6056000,523,Demographia 2025 (20th ed.) built-up urban area (=~whole city-state),built_up_urban_area,210.3,metro_plus_urban_rail,system_field,,,true,true,true,true,true,true,true,true
london,London,United Kingdom,Europe,metro,270,1181000000,2024,2024,calendar_year,station_entries,station_entries,system_rank,entries,high,,,https://content.tfl.gov.uk/travel-in-london-2024-annual-overview-acc.pdf,london-ts,11360000,1738,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,104.0,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
mexico-city,Mexico City,Mexico,North America,metro,165,1171859113,2024,2024,calendar_year,station_entries,station_entries,system_rank,entries,medium,,,https://www.eluniversal.com.mx/metropoli/metro-de-la-cdmx-incrementa-5-su-afluencia-en-2024-pero-no-alcanza-niveles-prepandemia/,mexico-city-annual,18942000,2530,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,61.9,metro_only,system_field,,,true,true,true,true,true,true,true,true
osaka,Osaka,Japan,Asia,metro,109,1114710000,2023,2023,calendar_year,estimated,estimated,system_rank,estimated,low,,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E5%B8%82%E9%AB%98%E9%80%9F%E9%9B%BB%E6%B0%97%E8%BB%8C%E9%81%93,osaka-annual,14998000,3020,Demographia 2025 (20th ed.) built-up urban area 'Osaka-Kobe-Kyoto',built_up_urban_area,74.3,metro_only,system_field,,,true,true,true,true,true,true,true,true
prague,Prague,Czechia,Europe,metro+tram,25,1104935520,2024,2024,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://data.praha.eu/praha-v-cislech/celkovy-pocet-cestujicich,prague-annual,2264690,,"Wikipedia 'Prague metropolitan area' page; no land-area figure given there (a separate 11,425 km2 figure elsewhere refers to a broad administrative planning region, not a built-up area, so omitted)",metro_region,487.9,multimodal_agency,override:fetched 2026-09-20,"data.praha.eu reports 1,104,935,520 for 2024 across the whole Prague Integrated Transport (PID) network, broken down metro ~36% (~379M), tram ~33%, city bus ~26%, regional bus ~5%. The stored value matches exactly, so it is an agency-wide figure ~2.9x the metro alone. Confirms the hypothesis in comparability.py's docstring.",https://data.praha.eu/praha-v-cislech/celkovy-pocet-cestujicich,true,true,true,false,true,true,false,false
nanjing,Nanjing,China,Asia,metro,159,1096000000,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,093,521,000 / 进站量 651,312,600. matches 客运量 to 0.2% (atlas year 2024 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,nanjing-annual,8929000,1614,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,122.7,metro_only,system_field,,,true,true,true,true,true,true,true,true
changsha,Changsha,China,Asia,metro,102,1031632900,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 1,031,632,900 / 进站量 559,764,900. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,changsha-annual,3709000,772,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,278.1,metro_only,system_field,,,true,true,true,true,true,true,true,true
berlin,Berlin,Germany,Europe,metro,177,1010300000,2024,2024,calendar_year,estimated,estimated,system_rank,estimated,medium,,,https://www.bvg.de/dam/jcr:27ceb5b8-a738-400e-b288-0044d523d050/2025-05-05-bvg-in-zahlen-2024.pdf,berlin-annual,4371000,1393,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,231.1,unknown,override:fetched 2026-09-20,"BVG in Zahlen 2024 reports Fahrgastfahrten (UBF) of 1,109.7 Mio for 2024 (1,066.3 for 2023), split U-Bahn 554.3 / Strassenbahn 226.1 / Omnibus einschliesslich Faehre 459.2 -- bus included, S-Bahn absent (S-Bahn Berlin is a separate DB company). The stored 1,010,300,000 matches no figure in the source, and the system string 'U-Bahn + S-Bahn Berlin' misstates coverage in both directions.",https://www.bvg.de/dam/jcr:27ceb5b8-a738-400e-b288-0044d523d050/2025-05-05-bvg-in-zahlen-2024.pdf,true,true,true,true,true,false,false,false
istanbul,Istanbul,Türkiye,Europe,metro,117,915314407,2024,2024,calendar_year,station_entries,station_entries,system_rank,entries,high,,,https://www.metro.istanbul/Content/assets/uploaded/Y%C4%B1llara%20G%C3%B6re%20Toplam%20Yolcu%20Say%C4%B1lar%C4%B1-TR-2024.pdf,istanbul-annual,14749000,1471,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,62.1,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
sao-paulo,São Paulo,Brazil,South America,metro,63,892700000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://diariodotransporte.com.br/2026/04/08/metro-de-sao-paulo-transporta-mais-passageiros-bate-recorde-de-satisfacao-mas-prejuizo-dispara-em-2025/,sao-paulo-ts,21747000,3649,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,41.0,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
vienna,Vienna,Austria,Europe,metro+tram,57,873000000,2024,2024,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://presse.wien.gv.at/presse/2025/04/03/bilanz-2024-wiener-linien-erzielen-neuen-rekord-an-stammkund-innen,vienna-annual,2094000,337,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,416.9,multimodal_agency,override:fetched 2026-09-20,"Wiener Linien 2024 press release: '2024 konnten die Wiener Linien 873 Millionen Fahrgaeste begruessen'. Wiener Linien operates U-Bahn, Strassenbahn AND Autobus; the 873,000,000 stored here is the agency total, not the rail-only figure the system string ('U-Bahn + Strassenbahn Wien') implies.",https://presse.wien.gv.at/presse/2025/04/03/bilanz-2024-wiener-linien-erzielen-neuen-rekord-an-stammkund-innen,true,true,true,true,true,true,false,false
taipei,Taipei,Taiwan,Asia,metro,111,770000000,2025,2025,calendar_year,station_entries,station_entries,system_rank,entries,high,,,https://news.ltn.com.tw/news/life/breakingnews/5427634,taipei-annual,9866000,1090,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,78.0,metro_only,system_field,,,true,true,true,true,true,true,true,true
madrid,Madrid,Spain,Europe,metro,275,736874012,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,high,,,https://www.metromadrid.es/en/press-release/2026-01-16/in-2025-the-community-of-madrid-reaches-the-all-time-record-number-of-metro-users-with-a-total-of-736-874-012,madrid-annual,6966000,1365,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,105.8,metro_only,system_field,,,true,true,true,true,true,true,true,true
zhengzhou,Zhengzhou,China,Asia,metro,91,697272500,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 697,272,500 / 进站量 421,066,700. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,zhengzhou-annual,6860000,1785,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,101.6,metro_only,system_field,,,true,true,true,true,true,true,true,true
tianjin,Tianjin,China,Asia,metro,143,674000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 641,395,200 / 进站量 398,767,600. matches 客运量 to 5.1% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,tianjin-annual,12095000,2813,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,55.7,metro_only,system_field,,,true,true,true,true,true,true,true,true
milan,Milan,Italy,Europe,metro,97,662200000,2023,2023,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://risultati.atm.it/2023/files/12-Relazione-Annuale-Integrata-Gruppo-ATM-2023.pdf,milan-annual,5631000,2225,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,117.6,metro_plus_urban_rail,system_field,,,true,true,true,true,true,true,true,true
santiago,Santiago,Chile,South America,metro,117,661000000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,high,,,https://www.metro.cl/documentos/Presentacion_de_resultados_Metro_2025.pdf,santiago-ts,7192000,1147,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,91.9,metro_only,system_field,,,true,true,true,true,true,true,true,true
suzhou,Suzhou,China,Asia,metro,126,637940700,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 637,940,700 / 进站量 395,615,800. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,suzhou-annual,5492000,,"China 2020 census via Wikipedia infobox, urban-district resident population (excl. satellite county-cities Kunshan/Zhangjiagang/Changshu/Taicang); Demographia folds Suzhou into 'Shanghai-Changzhou' mega-conurbation so not usable per-city; extraction was messy, moderate confidence",built_up_urban_area,116.2,metro_only,system_field,,,true,true,true,true,true,true,true,true
hamburg,Hamburg,Germany,Europe,metro,81,552000000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://www.hochbahn.de/de/unternehmen/unternehmensbericht,hamburg-annual,2210000,795,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,249.8,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
qingdao,Qingdao,China,Asia,metro,82,534000000,2025,2025,calendar_year,unlinked_trips,station_entries,override:camet,boarding,medium,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 530,556,100 / 进站量 367,851,900. matches 客运量 to 0.6% (atlas year 2025 vs report year 2024)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,qingdao-annual,5806000,1759,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,92.0,metro_only,system_field,,,true,true,true,true,true,true,true,true
hefei,Hefei,China,Asia,metro,77,524431400,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 524,431,400 / 进站量 314,502,400. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,hefei-annual,5875000,894,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,89.3,metro_only,system_field,,,true,true,true,true,true,true,true,true
shenyang,Shenyang,China,Asia,metro,84,508000000,2023,2023,calendar_year,,station_entries,override:camet,,low,unverified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 658,105,200 / 进站量 420,738,500. matches neither column (客运量 x0.77, 进站量 x1.21); atlas vintage 2023 predates this report",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,shenyang-annual,7768000,1551,Demographia 2025 (20th ed.) built-up urban area 'Shenyang-Fushun',built_up_urban_area,65.4,metro_only,system_field,,,true,false,true,true,true,true,true,false
saint-petersburg,Saint Petersburg,Russia,Europe,metro,75,495000000,2020,2020,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,low,,,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D0%BD,saint-petersburg-annual,5869000,1510,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,84.3,metro_only,system_field,,,true,true,true,true,false,true,true,false
athens,Athens,Greece,Europe,metro,139,493800000,2013,2013,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,low,,,https://en.wikipedia.org/wiki/Athens_Metro,athens-annual,3360000,583,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,147.0,metro_plus_urban_rail,system_field,,,true,true,true,true,false,true,true,false
barcelona,Barcelona,Spain,Europe,metro,152,468670000,2024,2024,calendar_year,station_entries,station_entries,system_rank,entries,high,,,https://www.idescat.cat/indicadors/?id=aec&n=15578&lang=es,barcelona-annual,5489000,1072,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,85.4,metro_only,system_field,,,true,true,true,true,true,true,true,true
tunis,Tunis,Tunisia,Africa,lrt,59,460000000,2026,2026,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,low,,,https://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_des_transports_de_Tunis,tunis-annual,2802000,451,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,164.2,tram_or_lrt_only,system_field,,,true,true,true,true,true,true,true,true
nagoya,Nagoya,Japan,Asia,metro,87,459900000,2024,2024,calendar_year,estimated,estimated,system_rank,estimated,medium,,,https://www.kotsu.city.nagoya.jp/rp/about/trp0005399.htm,nagoya-annual,9617000,3704,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,47.8,metro_only,system_field,,,true,true,true,true,true,true,true,true
munich,Munich,Germany,Europe,metro,100,442000000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,high,,,https://www.mvg.de/presse/pressemeldungen/2026-03-27-fahrgast-rekord.html?lang=en,munich-annual,2195000,482,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,201.4,unknown,override:fetched 2026-09-20,"The cited MVG release reports '621 Millionen Fahrgaeste ... mit U-Bahn, Bus und Tram' for 2025 and does not mention S-Bahn. The stored figure is 442,000,000 for 2025, which matches neither that total nor the system string 'U-Bahn + S-Bahn Muenchen' (MVG does not operate the S-Bahn). Scope cannot be established from the citation on file.",https://www.mvg.de/presse/pressemeldungen/2026-03-27-fahrgast-rekord.html?lang=en,true,true,true,true,true,false,false,false
nanchang,Nanchang,China,Asia,metro,50,439000000,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 438,953,600 / 进站量 262,470,600. matches 客运量 exactly (ratio 1.0001)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,nanchang-annual,3899000,777,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,112.6,metro_only,system_field,,,true,true,true,true,true,true,true,true
toronto,Toronto,Canada,North America,metro+tram,65,420000000,2024,2024,calendar_year,unlinked_trips,unlinked_trips,system_rank,boarding,medium,,,https://www.toronto.ca/legdocs/mmis/2025/ttc/bgrd/backgroundfile-254392.pdf,toronto-ts,6400000,2344,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,65.6,metro_only,system_field,,,true,true,true,true,true,true,true,true
brussels,Brussels,Belgium,Europe,metro+tram,115,402000000,2024,2024,calendar_year,linked_journeys,linked_journeys,system_rank,journey,medium,,,https://www.lavenir.net/regions/bruxelles/2025/01/08/la-stib-a-enregistre-plus-de-400-millions-de-voyages-en-2024-FPCXXD6J3BEDPJROLXLZDRTWHY/,brussels-annual,2309000,870,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,174.1,metro_plus_urban_rail,system_field,,,true,true,true,true,true,true,true,true
caracas,Caracas,Venezuela,South America,metro,48,400000000,2014,2014,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,low,,,https://www.mppt.gob.ve/2015/mas-de-400-millones-de-usuarios-traslado-metro-de-caracas-en-el-2014/,caracas-annual,2574000,295,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,155.4,metro_only,system_field,,,true,true,true,true,false,true,true,false
ningbo,Ningbo,China,Asia,metro,75,388000000,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 388,076,200 / 进站量 221,477,600. matches 客运量 exactly (ratio 0.9998)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,ningbo-annual,4068000,943,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,95.4,metro_only,system_field,,,true,true,true,true,true,true,true,true
sydney,Sydney,Australia,Oceania,metro,236,383090000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://en.wikipedia.org/wiki/Sydney_Trains,sydney-annual,5037000,2194,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,76.1,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
tehran,Tehran,Iran,Middle East & Central Asia,metro,150,363000000,2025,2025,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,low,,,https://www.mehrnews.com/news/6817549/%D8%AC%D8%A7%D8%A8%D8%AC%D8%A7%DB%8C%DB%8C-%DB%B3%DB%B6%DB%B3-%D9%85%DB%8C%D9%84%DB%8C%D9%88%D9%86-%D9%85%D8%B3%D8%A7%D9%81%D8%B1-%D8%A8%D8%A7-%D9%85%D8%AA%D8%B1%D9%88-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AF%D8%B1-%D8%B3%D8%A7%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4,tehran-annual,14137000,1704,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,25.7,metro_only,system_field,,,true,true,true,true,true,true,true,true
harbin,Harbin,China,Asia,metro,26,361230700,2024,2024,calendar_year,unlinked_trips,station_entries,override:camet,boarding,high,verified,"CAMET 城市轨道交通2024年度统计和分析报告, 表3: 客运量 361,230,700 / 进站量 235,715,200. matches 客运量 exactly (ratio 1.0000)",https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf,harbin-annual,4954000,671,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,72.9,metro_only,system_field,,,true,true,true,true,true,true,true,true
melbourne,Melbourne,Australia,Oceania,tram,1229,337300000,2024,2024,calendar_year,passenger_journeys,passenger_journeys,system_rank,journey,medium,,,https://en.wikipedia.org/wiki/Trams_in_Melbourne,melbourne-annual,5185000,2880,Demographia 2025 (20th ed.) built-up urban area,built_up_urban_area,65.1,metro_plus_regional_rail,system_field,,,true,true,true,true,true,true,false,false
