rank,system_id,city,country,region,system,mode,annual_riders,year,measure_def,has_series,best_ts_granularity,ts_tier,confidence,annual_url
30,madrid,Madrid,Spain,Europe,Metro de Madrid,metro,736874012,2025,passenger_journeys,annual,annual,official,high,https://www.metromadrid.es/en/press-release/2026-01-16/in-2025-the-community-of-madrid-reaches-the-all-time-record-number-of-metro-users-with-a-total-of-736-874-012
31,zhengzhou,Zhengzhou,China,Asia,Zhengzhou Metro,metro,697272500,2024,station_entries,annual,annual,national_db,medium,https://infosharingp2-oss.camet.org.cn/resources/manual/2026/04/01/790018567319621.pdf
32,tianjin,Tianjin,China,Asia,Tianjin Metro,metro,674000000,2025,station_entries,annual,annual,national_db,medium,https://www.teda.gov.cn/contents/26/99736.html
33,milan,Milan,Italy,Europe,Metropolitana di Milano (+ tram),metro,662200000,2023,passenger_journeys,annual,annual,official,medium,https://risultati.atm.it/2023/files/12-Relazione-Annuale-Integrata-Gruppo-ATM-2023.pdf
34,santiago,Santiago,Chile,South America,Metro de Santiago,metro,661000000,2025,passenger_journeys,monthly,monthly,national_db,high,https://www.metro.cl/documentos/Presentacion_de_resultados_Metro_2025.pdf
35,suzhou,Suzhou,China,Asia,Suzhou Rail Transit,metro,637940700,2024,station_entries,annual,annual,national_db,medium,https://infosharingp2-oss.camet.org.cn/resources/manual/2026/04/01/790018567319621.pdf
36,hamburg,Hamburg,Germany,Europe,U-Bahn + S-Bahn Hamburg,metro,552000000,2025,passenger_journeys,annual,annual,official,medium,https://www.hochbahn.de/de/unternehmen/unternehmensbericht
37,qingdao,Qingdao,China,Asia,Qingdao Metro,metro,534000000,2025,station_entries,annual,annual,national_db,high,https://news.qq.com/rain/a/20260208A05UZX00
38,hefei,Hefei,China,Asia,Hefei Metro,metro,524431400,2024,station_entries,annual,annual,national_db,high,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
39,shenyang,Shenyang,China,Asia,Shenyang Metro,metro,508000000,2023,station_entries,annual,annual,community/aggregator,medium,https://zh.wikipedia.org/wiki/沈阳地铁
40,saint-petersburg,Saint Petersburg,Russia,Europe,Petersburg Metro,metro,495000000,2020,passenger_journeys,annual,annual,community/aggregator,low,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D0%BD
41,athens,Athens,Greece,Europe,Athens Metro (+ tram),metro,493800000,2013,passenger_journeys,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Athens_Metro
42,barcelona,Barcelona,Spain,Europe,Metro de Barcelona (TMB + FGC),metro,468670000,2024,station_entries,annual,annual,national_db,high,https://www.idescat.cat/indicadors/?id=aec&n=15578&lang=es
43,tunis,Tunis,Tunisia,Africa,Métro léger de Tunis,lrt,460000000,2026,passenger_journeys,annual,annual,community/aggregator,low,https://fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_des_transports_de_Tunis
44,nagoya,Nagoya,Japan,Asia,Nagoya Municipal Subway,metro,459900000,2024,estimated,annual,annual,official,medium,https://www.kotsu.city.nagoya.jp/rp/about/trp0005399.htm
45,munich,Munich,Germany,Europe,U-Bahn + S-Bahn München,metro,442000000,2025,passenger_journeys,annual,annual,official,high,https://www.mvg.de/presse/pressemeldungen/2026-03-27-fahrgast-rekord.html?lang=en
46,nanchang,Nanchang,China,Asia,Nanchang Metro,metro,439000000,2024,station_entries,annual,daily,community/aggregator,low,https://en.wikipedia.org/wiki/Nanchang_Metro
47,toronto,Toronto,Canada,North America,TTC Subway (+ streetcar network),metro+tram,420000000,2024,unlinked_trips,monthly,monthly,official,medium,https://www.toronto.ca/legdocs/mmis/2025/ttc/bgrd/backgroundfile-254392.pdf
48,brussels,Brussels,Belgium,Europe,Brussels Metro + Tram,metro+tram,402000000,2024,linked_journeys,annual,annual,official,medium,https://www.lavenir.net/regions/bruxelles/2025/01/08/la-stib-a-enregistre-plus-de-400-millions-de-voyages-en-2024-FPCXXD6J3BEDPJROLXLZDRTWHY/
49,caracas,Caracas,Venezuela,South America,Metro de Caracas,metro,400000000,2014,passenger_journeys,annual,annual,community/aggregator,low,https://www.mppt.gob.ve/2015/mas-de-400-millones-de-usuarios-traslado-metro-de-caracas-en-el-2014/
50,ningbo,Ningbo,China,Asia,Ningbo Rail Transit,metro,388000000,2024,station_entries,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Ningbo_Rail_Transit
51,sydney,Sydney,Australia,Oceania,Sydney Metro + Sydney Trains + Light Rail,metro,383090000,2025,passenger_journeys,annual,monthly,official,medium,https://en.wikipedia.org/wiki/Sydney_Trains
52,tehran,Tehran,Iran,Middle East & Central Asia,Tehran Metro,metro,363000000,2025,passenger_journeys,annual,annual,community/aggregator,low,https://www.mehrnews.com/news/6817549/%D8%AC%D8%A7%D8%A8%D8%AC%D8%A7%DB%8C%DB%8C-%DB%B3%DB%B6%DB%B3-%D9%85%DB%8C%D9%84%DB%8C%D9%88%D9%86-%D9%85%D8%B3%D8%A7%D9%81%D8%B1-%D8%A8%D8%A7-%D9%85%D8%AA%D8%B1%D9%88-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AF%D8%B1-%D8%B3%D8%A7%D9%84-%DB%B1%DB%B4%DB%B0%DB%B4
53,harbin,Harbin,China,Asia,Harbin Metro,metro,361230700,2024,station_entries,annual,annual,national_db,high,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
54,melbourne,Melbourne,Australia,Oceania,Melbourne trams (+ Metro Trains network),tram,337300000,2024,passenger_journeys,annual,annual,national_db,medium,https://en.wikipedia.org/wiki/Trams_in_Melbourne
55,mumbai,Mumbai,India,Asia,Mumbai Metro (+ Monorail),metro,328500000,2025,estimated,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Mumbai_Metro
56,rio-de-janeiro,Rio de Janeiro,Brazil,South America,MetrôRio,metro,322100000,2024,passenger_journeys,annual,monthly,official,medium,https://grokipedia.com/page/List_of_Latin_American_rail_transit_systems_by_ridership
57,rome,Rome,Italy,Europe,Metropolitana di Roma,metro,320000000,2019,passenger_journeys,annual,annual,official,low,https://en.wikipedia.org/wiki/Rome_Metro
58,busan,Busan,South Korea,Asia,Busan Metro,metro,315460000,2024,station_entries,annual,daily,national_db,medium,https://www2.humetro.busan.kr/homepage/manage/page/subLocation.do?menu_no=10070302
59,stockholm,Stockholm,Sweden,Europe,Tunnelbana,metro,314000000,2024,passenger_journeys,annual,annual,national_db,medium,https://www.trafa.se/globalassets/statistik/bantrafik/bantrafik/2024/bantrafik-2024.pdf
60,montreal,Montréal,Canada,North America,Métro de Montréal (+ REM),metro,311929200,2025,unlinked_trips,annual,annual,official,medium,https://www.apta.com/wp-content/uploads/2026/03/2025-Q4-Ridership-APTA.pdf
61,medellin,Medellín,Colombia,South America,"Metro de Medellín (+ Metrocable, Tranvía)",metro,308300000,2024,passenger_journeys,annual,annual,official,high,https://www.metrodemedellin.gov.co/hubfs/memorias-de-sostenibilidad/2024/Memoria_%20Sostenibilidad_MetrodeMedellin_2024.pdf
62,kunming,Kunming,China,Asia,Kunming Metro,metro,307424100,2024,station_entries,annual,annual,national_db,high,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
63,kuala-lumpur,Kuala Lumpur,Malaysia,Asia,"Klang Valley Integrated Transit (LRT, MRT, Monorail, KTM)",metro,296581044,2024,estimated,monthly,daily,official,medium,https://myrapid.com.my/bus-train/ridership/
64,tashkent,Tashkent,Uzbekistan,Middle East & Central Asia,Tashkent Metro,metro,286800000,2025,station_entries,annual,annual,national_db,medium,https://en.wikipedia.org/wiki/Tashkent_Metro
65,bengaluru,Bengaluru,India,Asia,Namma Metro,metro,276670000,2025,estimated,annual,annual,community/aggregator,medium,https://www.nativeplanet.com/news/despite-strong-ridership-namma-metro-sees-deepening-losses-in-2024-25-as-depreciation-and-taxes-pus-018291.html
66,dubai,Dubai,United Arab Emirates,Middle East & Central Asia,Dubai Metro (+ Tram),metro,275400000,2024,station_entries,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Dubai_Metro
67,changchun,Changchun,China,Asia,Changchun Rail Transit,metro,271092600,2024,station_entries,annual,annual,national_db,high,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
68,dalian,Dalian,China,Asia,Dalian Metro,metro,267000000,2024,station_entries,annual,annual,national_db,medium,https://www.dltransgrp.com/subway/subwayShow.do?columnId=2
69,bangkok,Bangkok,Thailand,Asia,"Bangkok rail transit (BTS, MRT, ARL, SRT Red Line)",metro,263955804,2024,station_entries,monthly,monthly,official,medium,https://en.wikipedia.org/wiki/BTS_Skytrain
70,guiyang,Guiyang,China,Asia,Guiyang Metro,metro,255189600,2024,station_entries,annual,annual,national_db,high,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
71,kyiv,Kyiv,Ukraine,Europe,Kyiv Metro,metro,250000000,2025,station_entries,annual,annual,community/aggregator,medium,https://glavcom.ua/kyiv/news/250-mln-pasazhiriv-ta-persha-zhinka-mashinistka-jakim-buv-2025-rik-u-kijivskomu-metro--1097937.html
72,budapest,Budapest,Hungary,Europe,Budapest Metro (+ trams),metro+tram,247300000,2025,passenger_journeys,annual,annual,national_db,medium,https://www.ksh.hu/stadat_files/sza/hu/sza0067.html
73,cologne,Cologne,Germany,Europe,Stadtbahn Köln,lrt,236200000,2024,passenger_journeys,annual,annual,national_db,medium,https://www.stadtwerkekoeln.de/pressemitteilungen/fahrgastzahlen-bei-der-kvb-sind-in-2024-nahezu-konstant-geblieben
74,buenos-aires,Buenos Aires,Argentina,South America,Subte,metro,236000000,2023,station_entries,annual,daily,official,medium,https://es.wikipedia.org/wiki/Subte_de_Buenos_Aires
75,minsk,Minsk,Belarus,Europe,Minsk Metro,metro,233900000,2023,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Minsk_Metro
76,sapporo,Sapporo,Japan,Asia,Sapporo Municipal Subway,metro,229875000,2024,station_entries,annual,annual,national_db,medium,https://www.jametro.or.jp/upload/data/txYrAazWqkWT.pdf
77,baku,Baku,Azerbaijan,Middle East & Central Asia,Baku Metro,metro,229600000,2024,passenger_journeys,annual,annual,community/aggregator,medium,https://azertag.az/xeber/oten_il_baki_metrosundan_istifade_eden_sernisinlerin_sayi_artib-3390807
78,yokohama,Yokohama,Japan,Asia,Yokohama Municipal Subway,metro,228232000,2024,station_entries,annual,annual,national_db,medium,https://www.jametro.or.jp/upload/data/txYrAazWqkWT.pdf
79,kharkiv,Kharkiv,Ukraine,Europe,Kharkiv Metro,metro,223000000,2018,passenger_journeys,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Kharkiv_Metro
80,lyon,Lyon,France,Europe,"Métro de Lyon (+ tram, funiculaire)",metro,219000000,2019,passenger_journeys,annual,annual,national_db,medium,http://sytral-mobilites.fr/UserFiles/File/projet/consultations-passees/consultation-metro/faq-en-savoir-plus/sytral-dossier-de-consultation-web.pdf
81,kolkata,Kolkata,India,Asia,Kolkata Metro,metro,218100000,2025,passenger_journeys,annual,annual,community/aggregator,high,https://www.uniindia.com/~/kolkata-metro-carries-21-81-cr-passenger-in-2024-25/Business%20Economy/news/3433709.html
82,dusseldorf,Düsseldorf,Germany,Europe,Stadtbahn / Straßenbahn Düsseldorf,lrt,204700000,2024,passenger_journeys,annual,annual,official,medium,https://duesseldorf-blog.de/2025/06/04/geschaeftsbericht-2024-rheinbahn-mit-rekord-32-millionen-fahrgaeste-mehr-als-im-vorjahr-unternehmen-schreibt-jedoch-rote-zahlen-in-hoehe-von-1422-millionen-euro/
83,warsaw,Warsaw,Poland,Europe,Warsaw Metro (+ trams),metro+tram,197300000,2024,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Warsaw_Metro
84,lima,Lima,Peru,South America,Metro de Lima y Callao,metro,191000000,2024,passenger_journeys,annual,annual,official,medium,https://energiminas.com/2025/03/10/linea-1-del-metro-transportaria-212-millones-de-pasajeros-este-ano-11-mas-que-2024/
85,zurich,Zurich,Switzerland,Europe,Zurich tram network,tram,188600000,2024,passenger_journeys,annual,annual,community/aggregator,low,https://www.bahnonline.ch/75490/vbz-fahrgastzahlen-im-jahr-2024-weiter-angestiegen/
86,dresden,Dresden,Germany,Europe,Straßenbahn Dresden,tram,183700000,2024,passenger_journeys,annual,annual,official,high,https://www.dvb.de/de-de/die-dvb/unternehmen/zahlen-und-daten-neu
87,frankfurt,Frankfurt,Germany,Europe,U-Bahn Frankfurt (+ S-Bahn Rhein-Main),metro+lrt,182440000,2024,passenger_journeys,annual,annual,official,medium,https://www.vgf-ffm.de/fileadmin/VGF/Die_VGF/Zahlen_und_Berichte/Documents/Geschaeftsbericht_2024.pdf
88,ankara,Ankara,Türkiye,Europe,Ankara Metro (+ Ankaray),metro,173200000,2025,passenger_journeys,annual,monthly,official,medium,https://m.ego.gov.tr/dosya/indir/34218.pdf
89,lisbon,Lisbon,Portugal,Europe,Metropolitano de Lisboa,metro,173000000,2019,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Lisbon_Metro
90,guadalajara,Guadalajara,Mexico,North America,Mi Tren (SITEUR),lrt,168605000,2024,station_entries,annual,monthly,national_db,high,https://en.wikipedia.org/wiki/Sistema_de_Tren_El%C3%A9ctrico_Urbano
91,leipzig,Leipzig,Germany,Europe,Straßenbahn Leipzig,tram,166000000,2024,passenger_journeys,annual,annual,community/aggregator,medium,https://www.l-iz.de/wirtschaft/wirtschaft-leipzig/2025/07/lvb-bilanz-fuer-2024-mehr-fahrgaeste-mehr-umsatz-mehr-zuschuss-629230
92,stuttgart,Stuttgart,Germany,Europe,Stadtbahn Stuttgart,lrt,165600000,2024,passenger_journeys,annual,annual,official,medium,https://www.ssb-ag.de/fileadmin/04_Unternehmen/Informationen_und_Fakten/geschaeftsberichte/25-159_01_Geschaeftsbericht_03LowRes_finaler_Entwurf.pdf
93,hanover,Hanover,Germany,Europe,Stadtbahn Hannover,lrt,163500000,2024,passenger_journeys,annual,annual,official,medium,https://www.zughalt.de/2025/05/uestra-mehr-fahrgaeste-und-mitarbeiter/
94,nuremberg,Nuremberg,Germany,Europe,U-Bahn Nürnberg,metro,161300000,2024,passenger_journeys,annual,annual,official,high,https://www.nordbayern.de/nuernberg/rekord-geknackt-161-3-millionen-menschen-in-nurnberg-nutzen-bus-und-bahn-trotzdem-minusgeschaft-1.14710988
95,rotterdam,Rotterdam,Netherlands,Europe,Rotterdam Metro (+ tram),metro,160000000,2025,unlinked_trips,annual,annual,official,medium,https://corporate.ret.nl/nieuws/jaarverslag-2025-reizigers-centraal-en-voorsorteren-op-de-toekomst
96,kobe,Kobe,Japan,Asia,Kobe Municipal Subway,metro,159574289,2024,station_entries,annual,annual,national_db,medium,https://www.jametro.or.jp/upload/data/txYrAazWqkWT.pdf
97,vancouver,Vancouver,Canada,North America,SkyTrain,metro,146789800,2025,station_entries,annual,annual,official,medium,https://en.wikipedia.org/wiki/SkyTrain_(Vancouver)
98,boston,Boston,United States,North America,MBTA Subway (the T),metro+lrt,143119600,2025,unlinked_trips,monthly,monthly,official,high,https://www.apta.com/wp-content/uploads/2026/03/2025-Q4-Ridership-APTA.pdf
99,bucharest,Bucharest,Romania,Europe,Bucharest Metro,metro,142783000,2023,passenger_journeys,annual,annual,official,medium,https://www.metrorex.ro/storage/documents/1720090135Raport%20de%20activitate%202023%20Metrorex%20S.A..pdf
100,washington,"Washington, DC",United States,North America,Washington Metro (Metrorail),metro,142093000,2025,unlinked_trips,monthly,monthly,national_db,medium,https://northernvirginiamag.com/news/2025/12/22/wmata-releases-2025-metro-rewind-with-ridership-stats/
101,chicago,Chicago,United States,North America,Chicago 'L',metro,138392897,2025,station_entries,monthly,daily,official,high,https://www.transitchicago.com/assets/1/6/Monthly_Ridership_2025-12.pdf
102,strasbourg,Strasbourg,France,Europe,Tramway de Strasbourg,tram,138300000,2024,passenger_journeys,annual,annual,official,low,https://www.cts-strasbourg.eu/export/sites/default/.galleries/Documents/Rapport-dactivite-et-de-responsabilite-sociale-et-environnementale-de-la-CTS-2025.pdf
103,izmir,İzmir,Türkiye,Europe,"İzmir Metro (+ İZBAN, tram)",metro,127373929,2024,passenger_journeys,annual,annual,national_db,medium,https://www.tursid.org/rayli-sistem-verileri
104,sofia,Sofia,Bulgaria,Europe,Sofia Metro,metro,127200000,2024,passenger_journeys,annual,annual,official,high,https://www.metropolitan.bg/aktualno/nad-127-mln.-ptniczi-e-prevozilo-metro-v-sofiya-prez-2024-g
105,kyoto,Kyoto,Japan,Asia,Kyoto Municipal Subway,metro,127086000,2024,station_entries,annual,annual,national_db,medium,https://www.jametro.or.jp/upload/data/txYrAazWqkWT.pdf
106,copenhagen,Copenhagen,Denmark,Europe,Copenhagen Metro,metro,126000000,2024,passenger_journeys,annual,monthly,official,high,https://metroselskabet.dk/en/contact-and-press/press/press-releases/record-year-for-the-metro-six-million-more-passengers-in-2024/
107,gothenburg,Gothenburg,Sweden,Europe,Gothenburg tram network,tram,125000000,2024,estimated,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Gothenburg_tram_network
108,helsinki,Helsinki,Finland,Europe,Helsinki Metro + tram,metro+tram,124000000,2024,passenger_journeys,annual,annual,official,high,https://kaupunkiliikenne.fi/content/uploads/2025/04/Vuosikertomus-2024.pdf
109,zagreb,Zagreb,Croatia,Europe,ZET tram network,tram,121800000,2024,passenger_journeys,annual,annual,official,high,https://www.zagreb.hr/userdocsimages/arhiva/statistika/2024/prijevoz%202024/Prijevoz%20I%20-%20XII.%202024_web.pdf
110,toulouse,Toulouse,France,Europe,Métro de Toulouse,metro,118297877,2024,passenger_journeys,annual,annual,official,high,https://www.tisseo-collectivites.fr/sites/default/files/media/downloads/chiffres-cles_2024_interactive_corrections.pdf
111,oslo,Oslo,Norway,Europe,T-bane (+ tram),metro,118000000,2016,passenger_journeys,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Oslo_Metro
112,salvador,Salvador,Brazil,South America,Metrô de Salvador,metro,117737000,2024,passenger_journeys,annual,annual,national_db,high,https://badevalor.com.br/metro-de-salvador-alcanca-117737-milhoes-de-passageiros-em-2024/
113,jinan,Jinan,China,Asia,Jinan Metro,metro,116398600,2024,station_entries,annual,annual,national_db,high,https://infosharingp2-oss.camet.org.cn/resources/manual/2025/04/01/660853988892741.pdf
114,panama-city,Panama City,Panama,North America,Metro de Panamá,metro,114900000,2025,station_entries,annual,monthly,official,high,https://www.infobae.com/panama/2026/02/07/panama-cerro-2025-con-1149-millones-de-pasajeros-en-el-metro-y-1399-millones-en-buses/
115,tbilisi,Tbilisi,Georgia,Middle East & Central Asia,Tbilisi Metro,metro,113827000,2017,station_entries,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Tbilisi_Metro
116,basel,Basel,Switzerland,Europe,Basel tram network,tram,113550000,2024,passenger_journeys,annual,annual,official,medium,https://www.bvb.ch/wp-content/bvb/Dokumente/Geschaeftsberichte/2024/BVB_Geschaeftsbericht_2024.pdf
117,chennai,Chennai,India,Asia,Chennai Metro,metro,113238447,FY2025-26,passenger_journeys,annual,monthly,official,high,https://chennaimetrorail.org/wp-content/uploads/2026/08/Media-wise-Ridership-details_Apr_2023-to-July_2026.pdf
118,fuzhou,Fuzhou,China,Asia,Fuzhou Metro,metro,113000000,2022,station_entries,annual,annual,community/aggregator,medium,https://zh.wikipedia.org/wiki/福州地铁
119,lille,Lille,France,Europe,Métro de Lille,metro,112000000,2016,passenger_journeys,annual,annual,community/aggregator,low,https://fr.wikipedia.org/wiki/M%C3%A9tro_de_Lille
120,montpellier,Montpellier,France,Europe,Tramway de Montpellier,tram,110000000,2024,passenger_journeys,annual,annual,official,low,https://www.lejournaltoulousain.fr/occitanie/herault/montpellier/bilan-mitige-un-an-gratuite-transports-montpellier-298192/
121,bursa,Bursa,Türkiye,Europe,Bursaray,lrt,109895653,2024,passenger_journeys,annual,annual,national_db,medium,https://www.tursid.org/rayli-sistem-verileri
122,santo-domingo,Santo Domingo,Dominican Republic,North America,Metro de Santo Domingo,metro,104003341,2023,station_entries,annual,monthly,official,medium,https://presidencia.gob.do/noticias/el-metro-de-santo-domingo-rompe-record-de-usuarios-en-los-ultimos-12-meses
123,recife,Recife,Brazil,South America,Metrô do Recife,metro,102089000,2018,passenger_journeys,annual,annual,official,low,https://en.wikipedia.org/wiki/Recife_Metro
124,bilbao,Bilbao,Spain,Europe,Metro Bilbao,metro,100000000,2024,unlinked_trips,annual,annual,community/aggregator,high,https://en.wikipedia.org/wiki/Metro_Bilbao
125,monterrey,Monterrey,Mexico,North America,Metrorrey,metro,97090000,2025,station_entries,annual,monthly,national_db,high,https://en.wikipedia.org/wiki/Metrorrey
126,bordeaux,Bordeaux,France,Europe,Tramway de Bordeaux,tram,96770000,2018,passenger_journeys,annual,annual,national_db,medium,https://en.wikipedia.org/wiki/Bordeaux_tramway
127,calgary,Calgary,Canada,North America,CTrain,lrt,94097200,2025,unlinked_trips,annual,monthly,official,medium,https://en.wikipedia.org/wiki/CTrain
